ZoneId,Description,RegionId,CountryId,UtmGrid,GridRef,ZoneControlState,DateCapturedUtc,LegionCount,SwarmCount,FacelessCount,LastUpdateDateUtc,Latitude,Longitude
2537968,"Maloleka",2440,180,"34U","34U1H5S4Q",2,2019-05-25 17:03:33.9030000,0,1110845,0,2020-05-12 02:03:28.3000000,52.416670,21.050000
2538501,"Nieporet",2440,180,"34U","34U1H5S4Q",2,2019-05-29 05:59:48.0300000,0,1157481,0,2020-05-12 02:03:32.9330000,52.431520,21.032120
2536882,"Izabelin",2440,180,"34U","34U1H5S4Q",2,2019-06-30 15:57:14.0470000,0,1027474,0,2020-05-12 02:03:37.5730000,52.395190,21.058040
2538144,"Michalow-Reginow",2440,180,"34U","34U1H5S3Q",2,2019-05-22 16:48:14.0270000,0,1206195,0,2020-05-12 02:03:44.7300000,52.417110,20.965950
2537640,"Stanislawow",2440,180,"34U","34U1H5S3Q",2,2019-05-01 12:40:04.5030000,0,1085548,0,2020-05-12 02:03:50.7000000,52.411060,20.963970
2537460,"Wola Aleksandra",2440,180,"34U","34U1H5S3Q",2,2019-06-06 09:29:21.3270000,0,1205888,0,2020-05-12 02:03:55.0330000,52.403570,20.988180
2537206,"Legionowo",2440,180,"34U","34U1H5S3Q",2,2019-03-18 19:05:08.4970000,0,2394120,0,2020-05-12 02:03:59.5300000,52.400000,20.933330
2535225,"Czarna Struga",2440,180,"34U","34U1H5S4Q",2,2019-03-20 11:15:38.8200000,0,1255428,0,2020-05-12 02:30:41.3330000,52.359980,21.116920
2534823,"Kepa Tarchominska",2440,180,"34U","34U1H5S4Q",2,2019-04-29 11:39:52.4770000,0,839189,0,2020-05-12 02:30:50.3400000,52.350000,21.100000
2534821,"Augustowek",2440,180,"34U","34U1H5S4Q",3,2015-06-07 16:02:31.2930000,0,9857,770659,2020-05-12 02:30:55.3970000,52.350000,21.066670
2534822,"Olesin",2440,180,"34U","34U1H5S4Q",2,2019-02-22 11:09:14.3000000,0,9535,0,2020-05-12 02:31:03.8230000,52.350000,21.066670
2548602,"Miszewo Czernie",2440,180,"34U","34U1H5S3Q",2,2016-12-29 18:53:19.7600000,0,14876,0,2020-05-12 02:31:21.5630000,52.650000,20.633330
2548931,"Nowe Miasto",2440,180,"34U","34U1H5S3Q",2,2017-06-05 19:51:35.4030000,0,29305,0,2020-05-12 02:31:27.3630000,52.656910,20.628380
2548601,"Miszewo",2440,180,"34U","34U1H5S3Q",2,2017-01-10 17:59:44.5130000,0,7123,0,2020-05-12 02:31:31.4870000,52.650000,20.616670
2550446,"Sochocin",2440,180,"34U","34U1H5S3Q",2,2016-07-15 07:53:42.1930000,0,255865,0,2020-05-12 02:50:45.5100000,52.687150,20.472590
