ZoneId,Description,RegionId,CountryId,UtmGrid,GridRef,ZoneControlState,DateCapturedUtc,LegionCount,SwarmCount,FacelessCount,LastUpdateDateUtc,Latitude,Longitude
2418889,"Ligota",2450,180,"34U","34U2H1S3Q",2,2018-04-01 09:28:26.9400000,0,1388158,0,2020-05-11 02:31:07.5770000,50.083330,18.583330
2522585,"Grodzisk Mazowiecki",2440,180,"34U","34U1H5S3Q",2,2019-11-11 14:16:44.4870000,0,231393,0,2020-05-11 03:25:31.6770000,52.103870,20.633700
2378617,"Zatwarnica",2441,180,"34U","34U2H6S1Q",1,2020-03-11 20:22:20.2170000,91065,0,0,2020-05-11 04:08:29.1870000,49.226570,22.552700
2490010,"Zamlynie",2440,180,"34U","34U2H2S2Q",2,2016-12-23 16:31:36.2100000,0,249414,0,2020-05-11 05:40:58.0370000,51.405060,21.109530
2525103,"Michalin",2440,180,"34U","34U1H5S4Q",2,2020-05-09 01:13:48.3770000,0,274601,0,2020-05-11 05:55:01.9770000,52.153190,21.229530
2590703,"Faryny",2444,180,"34U","34U1H5S2Q",3,2016-05-25 20:24:12.4300000,0,0,2391957,2020-05-11 06:29:04.0800000,53.533330,21.383330
2418102,"Rowien",2450,180,"34U","34U2H1S3Q",2,2019-07-31 10:58:07.8970000,0,1328719,0,2020-05-11 08:54:00.0470000,50.066670,18.666670
2504407,"Chojny Nowe",2446,180,"34U","34U2H1S2Q",3,2017-03-22 18:59:51.1130000,0,0,468965,2020-05-11 09:12:32.1400000,51.716670,19.483330
2522769,"Janowek",2440,180,"34U","34U1H5S4Q",3,2014-09-24 07:58:58.0800000,0,95596,231769,2020-05-11 10:05:22.4630000,52.109250,21.099670
2529047,"Kurow",2451,180,"34U","34U1H4S3Q",2,2016-04-23 16:07:42.8170000,0,2985734,0,2020-05-11 10:44:09.2670000,52.233330,18.266670
2544486,"Przyborowo",2451,180,"33U","33U1H6S3Q",3,2017-09-12 19:55:18.4100000,0,0,302450,2020-05-11 10:49:50.8070000,52.559340,16.573910
2416576,"Rogozna",2450,180,"34U","34U2H1S3Q",2,2018-04-01 10:52:18.6000000,0,1369501,0,2020-05-11 13:08:23.9130000,50.033330,18.666670
2485548,"Magierow",2440,180,"34U","34U2H2S2Q",2,2016-04-04 20:07:35.1870000,0,586121,0,2020-05-11 13:40:12.0630000,51.314860,21.205060
2526050,"Tworki",2440,180,"34U","34U1H5S3Q",3,2014-07-20 14:31:31.9500000,0,0,3762132,2020-05-11 13:47:46.2870000,52.173830,20.819780
2607279,"Ryn",2444,180,"34U","34U1H5S2Q",1,2017-05-03 10:17:29.0670000,5441340,0,0,2020-05-11 15:19:21.8830000,53.937700,21.546420
2559067,"Radostow",2452,180,"33U","33U1H5S3Q",1,2020-05-11 15:22:19.0300000,941,0,0,2020-05-11 15:22:19.0300000,52.867510,14.228500
2529341,"Powisle",2440,180,"34U","34U1H5S4Q",2,2020-05-11 11:05:12.7430000,0,73980,0,2020-05-11 15:49:29.4900000,52.238340,21.028390
2377774,"Dwernik",2441,180,"34U","34U2H6S1Q",1,2020-03-12 17:30:53.4170000,90090,0,0,2020-05-11 16:26:59.6270000,49.207280,22.624970
2525701,"Zawady",2440,180,"34U","34U1H5S4Q",3,2016-08-06 19:32:17.2230000,0,32338,673486,2020-05-11 16:49:04.9530000,52.166670,21.100000
2526512,"Wierzbno",2440,180,"34U","34U1H5S4Q",2,2020-01-30 15:38:30.3670000,0,681198,0,2020-05-11 17:00:39.5370000,52.183330,21.016670
2526931,"Mokotow",2440,180,"34U","34U1H5S4Q",2,2019-12-11 20:57:23.2900000,0,1796366,0,2020-05-11 17:00:51.3070000,52.193400,21.034870
2526935,"Czerniakow",2440,180,"34U","34U1H5S4Q",2,2019-04-17 08:20:44.0430000,0,1116354,0,2020-05-11 17:01:00.8570000,52.193560,21.059760
